model,accuracy,precision,recall,f1
Random Forest,0.9843871975019516,0.986232790988736,0.9887076537013801,0.9874686716791979
Logistic Regression,0.9398907103825137,0.9675324675324676,0.9347553324968633,0.9508615188257817
