rank_test_f1,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,params
1,0.9611827252203045,0.011556858732612585,0.9693632363849904,0.01001362653868222,0.9682549343535344,0.012567210315523013,0.9687652982004676,0.00936360840206417,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
1,0.9611827252203045,0.011556858732612585,0.9693632363849904,0.01001362653868222,0.9682549343535344,0.012567210315523013,0.9687652982004676,0.00936360840206417,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}"
3,0.9598438121488154,0.012336919801984642,0.9678479705932233,0.012084611542257595,0.9677158507955831,0.013737800240757917,0.967709767512614,0.009938352637270878,"{'classifier__class_weight': None, 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2}"
3,0.9598438121488154,0.012336919801984642,0.9678479705932233,0.012084611542257595,0.9677158507955831,0.013737800240757917,0.967709767512614,0.009938352637270878,"{'classifier__class_weight': None, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
5,0.9591732351837224,0.010179216805101435,0.9687626831302556,0.00842723117741497,0.9655653131611744,0.01356429692723771,0.9671002302182183,0.008327068458520527,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
6,0.9585060195066749,0.012753590000116881,0.9682563342345795,0.011805398948142734,0.9650276787525722,0.013732695117687406,0.9665783647811322,0.010309331176096007,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
7,0.9571665462205117,0.012451539897703201,0.9801015414854973,0.008515598276326586,0.9504999565255196,0.017923039432115928,0.9649746376721364,0.010364725066333411,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2}"
7,0.9571665462205117,0.012451539897703201,0.9801015414854973,0.008515598276326586,0.9504999565255196,0.017923039432115928,0.9649746376721364,0.010364725066333411,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2}"
9,0.9558265127196742,0.01112638307002725,0.9747865372772507,0.008355490787554124,0.9537272121264817,0.016211921668163442,0.9640540490916434,0.009233015024791664,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}"
10,0.9558293137930456,0.0117977946957908,0.9790859613346552,0.011817115209501902,0.9494261368576644,0.015749991151986626,0.963920702268625,0.009687809880581,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}"
11,0.955157616398604,0.011461559881732341,0.9742278503479108,0.008617432249780602,0.9531895777178796,0.01586831811406312,0.9635145607334902,0.009480629565012973,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}"
12,0.9554937452031618,0.012221477625538785,0.9816205520509407,0.007798953901506264,0.9461988812567024,0.016780951363626565,0.9635079223702714,0.010167129018176969,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2}"
